session,student_Id,Md_Other,Ds_Other,Md_Aulaweb,Ds_Aulaweb,Md_Blank,Ds_Blank,Md_Deeds,Md_Study,Md_Properties,Ds_Properties,Md_Diagram,Ds_Diagram,Md_TextEditor,Ds_TextEditor,Md_Fsm,Ds_Deeds
2,1,4.664,32.5,93.555,543.778,0.309,1.661,0.0,0.062,1.556,5.597,888.567,3025.457,0.899,1.959,0.0,0.0
2,2,15.334,92.202,4.144,12.369,0.63,2.007,2368.989,0.11,19.765,72.356,379.994,1799.334,2.064,0.0,0.0,0.0
2,3,61.294,463.21,0.363,1.362,24.601,215.103,0.062,0.0,0.019,0.034,24.347,80.944,2865.259,0.0,0.0,0.0
2,4,20.375,136.711,7.638,22.906,3.663,27.746,0.03,0.046,1.294,3.023,110.167,410.98,0.421,0.0,0.093,0.0
2,5,7.315,53.97,17.034,83.529,33.782,416.735,0.0,0.0,2.618,13.892,128.336,548.101,0.721,0.0,0.0,0.0
2,6,68.142,646.401,0.373,1.681,0.408,2.123,0.0,0.297,0.037,0.082,0.186,0.464,6.804,0.0,0.0,0.0
2,7,9.365,50.169,0.034,0.104,0.392,2.76,0.0,0.0,0.486,1.524,847.765,4180.668,0.008,0.0,0.0,0.0
2,8,1.173,5.34,1.143,3.579,0.818,2.177,0.0,0.0,2.329,8.798,15.857,64.255,0.031,0.0,0.0,0.0
2,10,38.03,267.056,2.546,9.456,6.963,68.648,0.0,0.0,0.91,2.225,243.889,1504.787,0.31,0.0,0.0,0.0
2,11,49.873,526.634,107.077,612.633,29.673,304.876,0.0,0.0,0.146,0.543,231.723,1512.281,0.22,0.0,0.0,0.0
2,12,29.739,162.956,200.56,1071.34,0.783,4.456,199.581,0.016,2.216,4.629,470.22,2211.057,4.074,0.0,0.0,0.0
2,14,269.857,2547.392,27.394,100.825,2.069,11.905,0.03,0.562,1.563,3.5,586.968,3502.02,95.538,0.0,0.0,0.0
2,15,469.308,4180.08,2.713,7.58,2.09,21.257,4122.224,0.0,2.056,6.521,645.369,3744.445,0.326,0.0,0.0,0.0
2,16,37.422,199.881,1.428,3.129,3.721,22.003,0.0,1.017,0.075,0.215,21.021,61.828,3.9,0.0,0.0,0.0
2,17,2.493,7.532,2.916,12.979,107.63,858.122,0.0,0.016,0.023,0.102,5.166,15.858,0.092,0.0,0.0,0.0
2,18,0.955,2.522,0.039,0.074,0.018,0.084,0.0,0.0,0.018,0.028,0.082,0.174,125.188,0.0,0.0,0.0
2,19,28.346,160.977,169.566,160.653,1.14,5.67,0.0,0.0,0.346,0.988,92.029,180.806,0.0,0.0,0.0,0.0
2,20,2.896,13.071,3.733,13.074,0.709,4.251,33947.227,3.199,0.762,2.661,475.482,2518.095,6979.666,0.0,0.0,0.0
2,21,0.782,2.749,0.141,0.417,3.891,32.537,0.0,19.881,0.284,1.697,191.404,928.83,0.094,0.0,0.0,0.0
2,22,15.587,74.444,11.333,31.695,5.634,55.522,0.0,0.032,1.327,4.724,308.785,900.641,0.0,0.0,0.0,0.0
2,24,109.445,902.758,148.013,474.548,3.596,13.413,0.0,0.0,0.398,1.114,82.332,374.333,1.86,0.0,0.0,0.0
2,27,17.784,86.831,0.0,0.0,0.254,1.256,0.0,0.779,0.058,0.183,9.774,34.27,7.643,0.0,0.0,0.0
2,28,9.066,34.623,159.471,890.924,1.132,5.961,0.188,0.125,4.992,17.974,706.814,3194.651,29.487,0.0,0.0,0.0
2,29,10.107,96.051,0.0,0.0,0.133,0.49,0.0,0.0,0.002,0.006,48.368,119.62,0.964,0.0,0.0,0.0
2,30,15.799,111.945,1634.616,8186.631,41.374,296.742,45.334,12.034,4.882,20.773,553.112,3798.636,0.25,0.0,0.0,0.0
2,32,12.605,71.563,1.446,10.29,0.102,0.535,0.0,0.5,0.399,2.437,107.452,391.12,9.557,0.0,0.0,0.0
2,34,17.21,83.867,183.17,990.014,300.307,1767.222,77.284,20815.534,0.993,4.672,41.178,193.558,1553.603,0.0,0.0,0.0
2,36,74.73,568.5,128.11,520.811,0.459,2.099,974.996,12.22,6.408,28.512,276.933,991.809,1.33,0.0,0.0,0.0
2,38,106.976,696.546,110.323,472.06,35.763,218.203,0.0,0.0,0.225,0.438,226.321,556.148,11.67,0.0,0.0,0.0
2,39,56.547,553.362,0.357,1.141,5.266,50.484,0.015,4.161,1.197,5.386,427.96,1631.232,3664.732,0.0,0.0,0.0
2,41,23.313,156.14,2.883,9.466,0.019,0.099,0.0,0.0,0.082,0.266,61.185,362.624,0.374,0.0,0.0,0.0
2,42,12.016,58.221,5.777,35.294,4.561,27.442,0.0,0.0,19.071,124.52,487.675,2095.857,11.624,0.0,0.0,0.0
2,43,12.465,67.042,7.721,32.8,0.244,0.671,6946.619,0.064,1.798,4.393,480.4,2735.696,0.0,0.0,0.0,0.0
2,44,1.138,7.815,5.493,32.362,0.417,2.396,0.0,0.0,0.01,0.033,182.348,927.152,3.172,0.0,0.0,0.0
2,46,23.963,269.353,58.186,483.193,0.283,1.497,0.016,33.483,3.713,15.472,978.399,3529.31,0.218,0.0,0.0,0.0
2,47,37.065,193.387,29.312,118.173,1.586,14.888,25844.705,1.185,3.374,8.288,47.072,130.972,0.899,0.0,0.0,0.0
2,48,314.226,1831.118,28.809,75.848,20.476,135.239,0.016,0.0,0.002,0.005,73.757,319.947,0.015,0.0,0.0,0.0
2,49,25.987,176.132,4.147,13.658,1.413,12.448,0.0,0.047,1.734,7.465,639.694,2526.178,0.0,0.0,0.0,0.0
2,50,57.805,220.399,116.056,457.448,7.096,28.262,0.156,197.937,0.326,0.506,26.779,84.698,217.019,0.0,0.0,0.0
2,51,4.987,34.956,2.896,19.37,0.265,1.868,43.932,0.0,0.463,1.921,623.481,2234.902,7.287,0.0,0.0,0.0
2,52,11.734,80.044,6.392,22.605,0.991,4.359,0.0,0.801,5.651,34.227,431.413,1515.543,10.688,0.0,0.0,0.0
2,53,11.167,69.398,636.561,2502.843,6.062,38.058,0.0,0.0,0.878,2.741,67.867,202.959,0.42,0.0,0.0,0.0
2,54,9.51,51.579,13.231,82.115,0.687,2.758,0.0,0.282,0.463,1.747,49.73,251.477,229.652,0.0,0.048,0.0
2,56,9.683,51.855,10.201,46.547,6.289,58.157,2079.076,177.493,0.061,0.274,32.662,139.862,2.246,0.0,0.0,0.0
2,59,70.023,577.937,3.211,14.087,1.13,8.246,0.0,0.265,12.335,64.991,2059.283,13929.141,785.023,0.0,0.0,0.0
2,61,3.853,25.328,170.969,661.795,12.129,134.355,0.156,0.0,0.006,0.013,10.115,31.894,0.359,0.0,0.078,0.0
2,63,109.302,595.055,18.719,126.226,3.535,28.559,126.415,0.094,2.26,5.202,812.896,5064.385,30.256,0.0,0.0,306.252
2,66,16.25,138.386,4.944,23.136,18.451,143.005,0.0,0.0,0.689,1.699,288.761,2265.821,340.197,0.0,0.0,0.0
2,67,294.774,2109.885,149.822,1048.807,37.507,257.82,2.501,0.0,0.052,0.206,980.793,4631.329,0.094,0.0,0.046,0.0
2,70,8.554,71.546,2.222,7.427,1.883,8.65,0.016,0.0,0.549,1.962,1486.831,9431.599,0.687,0.0,0.0,0.0
2,71,24.652,184.653,7.042,33.095,0.342,1.387,0.032,4.035,0.309,0.661,126.648,365.233,0.008,0.0,0.0,0.0
2,72,14.466,103.694,0.903,4.5,5.618,44.668,0.0,0.063,0.302,0.841,6.546,26.874,3.182,0.0,0.0,0.0
2,73,5.368,20.554,0.0,0.0,658.488,4154.898,0.0,0.0,1.686,8.001,251.545,1054.009,0.376,0.0,0.0,0.0
2,74,12.089,72.021,7.176,35.483,7.723,61.967,14.25,0.0,0.265,0.774,418.86,2681.68,0.078,0.0,0.0,0.0
2,76,9.516,64.969,2.45,9.632,0.213,1.136,0.469,0.0,1.424,5.537,294.723,1188.418,0.0,0.0,0.0,0.0
2,78,62.328,514.021,1.155,4.586,0.546,2.499,1.03,0.0,4.5,10.928,845.118,4002.675,0.0,0.0,0.0,0.0
2,79,20.594,89.854,4.471,18.704,0.733,4.232,1465.515,0.172,2.675,5.591,485.817,2122.273,0.0,0.0,0.0,0.0
2,80,95.283,500.119,885.882,3726.878,0.643,3.733,1.942,9923.178,0.928,2.695,790.492,1950.109,574.182,1646.356,0.0,0.0
2,81,95.026,720.001,49.713,221.086,71.232,553.004,0.0,0.0,13.402,68.388,342.012,1552.51,4.872,0.0,0.0,0.0
2,82,52.189,461.108,18.028,124.474,5.39,52.404,0.093,0.0,0.083,0.457,420.207,2122.669,0.936,0.0,0.0,0.0
2,83,22.164,206.629,0.0,0.0,0.091,0.335,0.186,9.331,0.002,0.006,2.749,13.581,2075.937,0.0,0.0,0.0
2,84,39.479,248.756,0.0,0.0,0.274,0.725,0.0,0.0,0.75,1.377,257.872,529.033,86693.025,0.0,0.0,0.0
2,85,161.068,1747.016,502.586,3093.14,17.584,128.182,0.0,0.0,0.381,0.708,166.126,985.9,29.502,0.0,0.0,0.0
2,86,18.589,108.175,5.481,21.423,2.013,21.319,0.0,706.534,4.663,31.6,279.403,690.991,6.397,0.0,0.0,0.0
2,87,9.475,66.314,4.271,17.371,8.871,46.99,0.0,0.0,0.288,1.189,307.498,1433.903,0.524,0.0,0.0,0.0
2,88,8.306,28.268,4.559,16.577,11.315,71.607,0.0,0.031,1.317,4.144,209.292,578.229,3.099,0.0,0.0,0.0
2,90,2.088,13.069,0.457,2.078,25.571,170.77,0.0,0.016,0.036,0.068,458.384,1265.527,22.427,0.0,0.0,0.0
2,91,435.688,5510.878,47.502,252.071,16.318,139.816,0.032,0.0,0.281,1.243,250.062,933.825,0.0,0.0,0.0,0.0
2,92,44.738,211.764,75.788,455.741,0.288,0.856,0.0,0.03,1.858,5.901,464.278,3169.677,0.016,0.0,0.0,0.0
2,93,15.646,53.37,23.849,108.966,7.613,45.352,0.0,17.037,0.04,0.106,378.196,1323.449,60151.115,0.0,0.0,0.0
2,94,78.96,978.353,2.843,12.176,4.822,30.406,0.015,0.0,12.546,41.033,233.634,749.379,0.0,0.0,0.0,0.0
2,95,9.809,49.169,0.044,0.091,7.401,51.023,0.0,0.0,1.178,3.982,0.226,1.129,0.219,0.0,0.0,0.0
2,96,4.659,24.799,2.609,10.16,1.006,3.859,0.468,0.015,3.484,17.465,212.127,645.722,2.028,0.0,0.0,0.0
2,97,5.884,39.385,41.934,262.386,2.9,21.34,0.0,0.0,0.919,3.166,214.587,839.428,574.807,0.0,0.0,0.0
2,98,30.734,155.137,657.491,3199.826,2.167,4.8,74524.019,0.016,0.361,0.951,380.256,1565.196,35.236,0.0,0.0,0.0
2,99,3.842,12.393,4.838,16.402,0.118,0.358,0.0,0.016,0.128,0.374,22.387,106.508,0.0,0.0,0.0,0.0
2,100,74.131,370.412,44.119,123.923,25.15,205.049,0.0,0.0,2.002,9.686,115.585,520.567,0.22,0.0,0.0,0.0
2,101,23.505,145.457,27.637,101.374,0.462,2.633,0.0,0.0,0.025,0.072,690.382,2915.665,630.25,0.0,0.0,0.0
2,102,10.743,55.997,4.92,14.064,4.04,41.131,0.0,0.22,8.087,50.65,134.893,784.307,2.189,0.0,0.0,0.0
2,103,3.864,11.101,1.899,5.686,0.298,0.808,551.156,109.554,0.978,3.17,73.161,278.808,5.111,0.0,0.0,0.0
2,104,85.382,840.513,68.286,270.511,1.335,6.948,0.0,0.0,2.603,10.554,242.68,725.16,5.945,0.0,0.0,0.0
2,107,42.416,346.371,255.089,1243.32,329.626,2907.998,12.481,0.0,0.795,2.399,142.287,553.82,2.161,5.308,0.0,0.0
