session,student_Id,Md_Other,Ds_Other,Md_Aulaweb,Ds_Aulaweb,Md_Blank,Ds_Blank,Md_Deeds,Md_Study,Md_Properties,Ds_Properties,Md_Diagram,Ds_Diagram,Md_TextEditor,Ds_TextEditor,Md_Fsm,Ds_Deeds,Md_FSM
1,1,7.57,42.43,121.584,619.629,0.33299999999999996,1.8319999999999999,0.032,0.893,2.205,6.749,1630.5379999999998,4252.286,1.8519999999999999,3.373,0.0,0.0,0.0
1,2,24.344,132.907,8.23,18.128,0.32,1.013,0.0,7.409,3.1439999999999997,5.781000000000001,930.6519999999999,2856.2859999999996,2.028,0.0,0.0,0.0,0.0
1,4,26.295,108.19200000000001,10.378,27.283,0.5760000000000001,1.883,0.016,0.0,2.471,4.013999999999999,158.918,495.603,0.46799999999999997,0.0,0.0,0.0,0.0
1,5,9.689,62.886,26.587,103.875,71.517,606.956,0.531,0.0,5.284,20.48,319.98400000000004,852.335,0.268,0.0,0.0,0.0,0.0
1,7,18.63,70.72399999999999,0.062,0.16699999999999998,0.251,0.927,113.75399999999999,0.23399999999999999,0.841,1.953,1360.329,5252.034000000001,4.127,0.0,0.0,0.0,0.0
1,9,7.837999999999999,47.193999999999996,257.173,906.1089999999999,8.289,53.619,1.17,0.124,0.33299999999999996,0.8290000000000001,61.033,113.26899999999999,0.359,0.0,0.0,0.0,0.0
1,10,58.599,337.931,0.0,0.0,0.001,0.004,0.0,0.0,1.419,2.925,472.00800000000004,2084.396,0.249,0.0,0.0,0.0,0.0
1,11,76.38600000000001,652.641,182.847,798.183,2.6039999999999996,8.878,0.0,7.421,0.2,0.674,484.131,2270.217,0.406,0.0,0.0,0.0,0.0
1,12,33.409,174.41,303.663,1381.391,0.15,0.507,0.0,2.362,2.344,4.559,1117.016,3403.632,0.654,0.0,0.0,0.0,0.0
1,14,423.94199999999995,3313.013,55.294,141.092,1.913,6.898,3.261,1.545,2.6830000000000003,4.388999999999999,2530.828,7367.403,1.28,0.0,0.0,0.0,0.0
1,15,37.178000000000004,199.65,2.9810000000000003,8.337,3.793,29.336,0.0,0.0,3.03,8.379,1117.006,4910.545999999999,4.117,0.0,0.0,0.0,0.0
1,17,1.43,4.474,0.792,1.821,0.895,3.64,0.0,0.015,0.006,0.015,1.61,4.505,0.376,0.0,0.0,0.0,0.0
1,19,28.494,89.76799999999999,169.56599999999997,160.653,4.205,11.056,0.063,0.0,0.139,0.479,165.6,266.256,2.699,0.0,0.0,0.0,0.0
1,20,3.2769999999999997,14.368,3.7880000000000003,13.812000000000001,1.186,6.047000000000001,0.0,0.109,1.141,3.233,681.2189999999999,3002.927,37.173,0.0,0.0,0.0,0.0
1,21,1.1420000000000001,3.57,0.161,0.562,0.006999999999999999,0.026000000000000002,0.0,18.547,0.6809999999999999,2.799,453.226,1425.773,0.0,0.0,0.0,0.0,0.0
1,22,18.827,81.80199999999999,13.507,36.794000000000004,13.159,85.178,0.0,0.12300000000000001,2.187,5.9670000000000005,657.566,1257.3319999999999,0.032,0.0,0.0,0.0,0.0
1,28,11.417,36.946,7.037999999999999,19.739,1.8969999999999998,7.7170000000000005,74.62100000000001,172.48,10.812999999999999,26.455,4419.505,7822.835,96.32700000000001,269.436,0.0,0.0,0.0
1,30,15.860999999999999,128.129,435.843,1568.027,54.449,340.657,0.0,12.034,6.233,23.424,969.8810000000001,5034.8820000000005,0.0,0.0,0.0,0.0,0.0
1,32,11.519,60.835,2.023,12.882,0.016,0.092,0.0,3671.12,0.966,3.839,201.68900000000002,535.2280000000001,895.548,0.0,0.0,0.0,0.0
1,34,27.21,113.01,398.455,1450.509,0.433,1.2109999999999999,0.015,0.0,2.84,7.912999999999999,68.756,249.085,823.857,0.0,0.0,0.0,0.0
1,36,118.779,716.183,431.119,960.4,0.802,2.91,2.673,0.0,9.746,34.961999999999996,562.191,1401.6629999999998,26.587,0.0,0.0,0.0,0.0
1,37,17.129,76.51100000000001,0.0,0.0,712.558,5326.516,0.0,0.0,50.175,173.658,633.976,1815.849,690.067,0.0,0.0,0.0,0.0
1,38,18.641,51.894,2.752,6.446000000000001,1.6280000000000001,6.414,0.0,0.016,0.319,0.551,416.65,736.308,11.679,29.633000000000003,0.0,0.0,0.0
1,39,24.605,161.945,0.5379999999999999,1.473,10.592,73.567,0.0,0.0,1.781,6.556,707.155,2074.03,575.558,0.0,0.0,0.0,0.0
1,42,14.642000000000001,66.743,1.518,4.406000000000001,1.49,4.3389999999999995,0.047,1.767,34.681,167.78799999999998,762.2189999999999,2628.8579999999997,219.425,0.0,0.0,0.0,0.0
1,43,22.851999999999997,91.213,9.318,40.298,0.302,0.727,0.156,0.032,3.6430000000000002,6.05,914.9689999999999,3939.085,0.0,0.0,0.0,0.0,0.0
1,44,2.303,11.52,12.319,49.06100000000001,0.903,3.517,0.0,0.0,0.027000000000000003,0.057,356.10400000000004,1286.853,0.124,0.0,0.0,0.0,0.0
1,46,31.935,317.817,116.21600000000001,687.311,0.109,0.608,0.0,0.0,5.989,19.53,1420.4479999999999,4332.929,0.109,0.0,0.0,0.0,0.0
1,47,68.6,261.365,38.352,134.69899999999998,3.502,22.357,0.0,0.172,5.825,10.389000000000001,75.53399999999999,163.703,0.016,0.0,0.0,0.0,0.0
1,49,9.375,33.964,1.9709999999999999,6.63,0.139,0.32799999999999996,0.016,7.71,4.5360000000000005,11.78,1245.835,3603.4440000000004,0.7170000000000001,0.0,0.0,0.0,0.0
1,51,7.6,49.431999999999995,2.414,10.915999999999999,0.6890000000000001,3.2430000000000003,0.25,0.015,0.141,0.19,845.7560000000001,2580.528,8.169,0.0,0.0,0.0,0.0
1,52,20.373,114.065,8.919,27.896,1.28,5.547000000000001,0.281,0.016,10.23,46.117,876.818,2148.259,8.735,0.0,0.0,0.0,0.0
1,53,12.832,76.531,783.454,2775.8979999999997,5.83,41.668,2.449,0.0,1.901,3.845,105.611,255.52,0.0,0.0,0.0,0.0,0.0
1,54,14.081,65.06,1.875,5.3389999999999995,1.0270000000000001,3.4210000000000003,0.0,0.0,0.78,2.342,104.25,370.221,0.0,0.0,0.048,0.0,0.0
1,55,5.075,30.605999999999998,10.7,29.834,3.333,25.909000000000002,0.233,0.109,0.6709999999999999,1.3430000000000002,493.12199999999996,2535.465,0.0,0.0,0.0,0.0,0.0
1,56,2.7,7.5089999999999995,5.797000000000001,17.313,1.2990000000000002,6.015,0.0,0.0,0.11699999999999999,0.38299999999999995,45.318999999999996,164.678,2.0980000000000003,0.0,0.0,0.0,0.0
1,59,108.31200000000001,726.672,7.341,21.296,2.153,11.937000000000001,1.45,201.628,16.038,74.205,4263.7609999999995,19996.408,0.18600000000000003,0.0,0.0,0.0,0.0
1,62,3.7560000000000002,16.027,0.619,2.733,7.638,49.157,0.0,0.0,2.7689999999999997,5.827999999999999,223.44400000000002,541.7280000000001,12.515,11.651,0.0,0.0,0.0
1,63,95.801,327.79699999999997,1.239,3.484,5.391,37.155,16.732,342.54400000000004,2.9389999999999996,5.789,1269.736,6369.953,4.438,0.0,0.0,0.0,0.0
1,66,11.839,72.809,11.517999999999999,38.527,46.964,276.856,0.0,0.0,1.307,2.303,698.3960000000001,3635.278,0.0,0.0,0.0,0.0,0.0
1,67,24.156999999999996,108.779,2.073,5.631,7.018,21.409000000000002,0.0,0.0,0.152,0.34600000000000003,3003.17,7884.132,0.7959999999999999,0.0,0.046,0.0,0.0
1,68,68.27600000000001,242.30900000000003,87.45200000000001,217.139,0.155,0.568,0.5329999999999999,0.015,1.265,3.259,315.88599999999997,1039.941,0.0,0.0,0.0,0.0,0.0
1,70,12.372,88.736,2.544,7.9879999999999995,1.2670000000000001,4.178,0.0,0.0,0.996,2.688,4836.097,17235.359,0.016,0.0,0.0,0.0,0.0
1,71,35.242,234.653,11.129000000000001,42.161,0.26,0.62,0.016,0.0,0.718,0.873,606.344,817.0419999999999,0.0,0.0,0.0,0.0,0.0
1,73,4.773,21.265,0.0,0.0,119.67,306.323,0.0,0.0,2.244,9.209,453.18,1393.9979999999998,0.11,0.0,0.0,0.0,0.0
1,74,7.959,40.659,6.292000000000001,19.1,11.935,93.929,0.03,0.09300000000000001,0.48,1.057,856.2239999999999,3818.704,0.0,0.0,0.0,0.0,0.0
1,76,15.302,91.556,1.8880000000000001,8.346,0.281,1.5430000000000001,0.0,0.0,1.976,6.535,412.61199999999997,1395.119,0.439,0.0,0.0,0.0,0.0
1,78,226.162,995.048,0.397,1.168,0.308,0.613,109.84899999999999,0.0,7.09,13.491,2335.302,6519.483,0.03,0.0,0.0,0.0,0.0
1,79,25.265,98.285,1.6869999999999998,6.847,1.2770000000000001,5.943,16.409000000000002,0.32799999999999996,3.835,6.44,1244.803,3343.4640000000004,0.016,0.0,0.0,0.0,0.0
1,80,150.595,646.425,169.373,368.227,1.4269999999999998,5.625,0.01,0.0,2.5,4.4110000000000005,1994.305,2832.407,528.802,2090.444,0.0,0.0,0.0
1,81,157.847,1018.133,80.381,278.85,0.6920000000000001,3.065,2.062,0.0,27.565,98.008,891.3919999999999,2494.863,0.43799999999999994,0.0,0.0,0.0,0.0
1,82,75.29899999999999,603.589,39.272,187.21900000000002,1.7269999999999999,7.335,5.865,0.0,0.154,0.629,597.4069999999999,2518.572,0.031,0.0,0.0,0.0,0.0
1,85,266.115,2256.8579999999997,902.6619999999999,4227.846,39.643,194.08599999999998,0.0,0.0,0.501,0.733,34.023,124.654,0.022000000000000002,0.0,0.0,0.0,0.0
1,86,19.503,120.185,17.383,38.367,1.7519999999999998,11.412,0.0,0.016,12.116,50.845,589.503,956.283,5.212999999999999,0.0,0.0,0.0,0.0
1,87,17.868,98.59899999999999,5.263,18.925,3.6430000000000002,14.294,0.03,0.0,0.59,1.695,690.222,2201.552,0.047,0.0,0.0,0.0,0.0
1,88,12.977,34.988,4.641,14.565,5.954,31.899,0.126,6.992999999999999,2.477,5.593999999999999,423.722,777.71,68.944,0.0,0.0,0.0,0.0
1,90,3.985,20.042,0.069,0.12300000000000001,29.276999999999997,204.718,0.03,0.0,0.06,0.092,886.54,1718.124,0.016,0.0,0.0,0.0,0.0
1,91,849.306,7724.177,64.492,295.45099999999996,3.492,31.217,0.29600000000000004,4.072,0.358,1.439,403.175,1193.098,399.86199999999997,754.863,0.0,0.0,0.0
1,92,52.941,256.735,3.958,7.995,0.141,0.6779999999999999,0.0,0.06,3.863,8.545,194.868,839.6460000000001,0.124,0.0,0.0,0.0,0.0
1,93,22.538,64.64399999999999,7.109,33.129,14.446,64.423,4.3660000000000005,0.25,0.076,0.14,573.491,1678.335,48.782,0.0,0.0,0.0,0.0
1,94,29.563000000000002,171.545,4.837,17.114,7.528,39.591,0.0,0.0,16.535,46.646,405.175,987.057,1.188,0.0,0.0,0.0,0.0
1,96,2.758,15.758,1.4980000000000002,6.067,1.663,5.107,0.9840000000000001,5.434,1.121,2.694,346.57099999999997,822.863,28.039,57.347,0.0,0.0,0.0
1,97,9.8,52.976000000000006,1.786,5.697,3.187,19.46,0.0,0.0,2.531,5.167999999999999,456.969,1257.269,98.382,0.0,0.0,0.0,0.0
1,98,28.090999999999998,174.31900000000002,657.4910000000001,3199.8259999999996,2.38,5.367000000000001,0.0,0.016,0.42,1.037,407.653,1619.3470000000002,32.501,0.0,0.0,0.0,0.0
1,100,92.266,424.673,39.907,127.698,19.503,203.27,0.156,0.015,0.484,0.698,204.512,748.289,2.8739999999999997,6.15,0.0,0.0,0.0
1,101,11.460999999999999,65.664,42.457,136.403,0.26,1.179,0.032,4.685,0.059000000000000004,0.10800000000000001,1440.371,4127.031,1.4969999999999999,0.0,0.0,0.0,0.0
1,102,15.782,70.456,6.22,15.856,9.507,64.215,0.0,0.0,11.12,59.36,203.78599999999997,960.816,26.476999999999997,0.0,0.0,0.0,0.0
1,104,140.681,1089.825,141.483,420.043,0.9540000000000001,2.872,0.0,2.03,5.008,14.717,556.507,1082.786,1.126,0.0,0.0,0.0,0.0
1,105,4.683,15.710999999999999,17.24,86.48,0.006,0.011000000000000001,0.015,0.0,0.003,0.006,419.66,1430.731,0.314,0.0,0.0,0.0,0.0
1,108,183.824,1467.606,66.751,270.9,5.169,15.559000000000001,0.0,0.391,0.053,0.057999999999999996,183.505,475.417,1351.4879999999998,0.0,0.062,0.0,0.0
1,109,7.357,53.828,7.542999999999999,33.988,0.723,4.699,0.0,0.0,0.285,0.6729999999999999,107.93700000000001,313.068,0.41600000000000004,0.6679999999999999,0.0,0.0,0.0
1,110,56.18600000000001,198.104,82.41799999999999,99.65700000000001,4.905,24.578000000000003,0.21899999999999997,0.125,1986.185,9506.252,731.803,2402.571,0.0,0.0,0.0,0.0,0.0
1,111,50.17100000000001,384.536,2.6210000000000004,8.26,2.077,19.025,0.0,0.0,0.728,2.86,271.608,1493.9720000000002,4.187,0.0,0.878,0.0,0.0
1,112,191.59900000000002,1109.752,7.518,20.412,6.477,29.705,0.0,0.0,0.732,2.502,1439.185,5535.816999999999,61.481,0.0,0.0,0.0,0.0
1,113,17.057000000000002,98.037,3.574,12.698,3.1039999999999996,11.002,0.048,8.927,1.285,2.4819999999999998,1116.899,2226.5389999999998,63.435,0.0,0.0,0.0,0.0
1,114,25.910999999999998,185.63299999999998,95.781,534.515,2.16,11.725,0.015,0.109,0.675,1.632,507.463,1971.7720000000002,0.0,0.0,0.0,0.0,0.0
1,115,50.762,427.657,30.084,55.346000000000004,3.5069999999999997,15.640999999999998,0.547,1.9509999999999998,0.556,1.256,650.613,1333.025,14.546,0.0,0.0,0.0,0.0
2,1,4.664,32.5,93.555,543.778,0.309,1.661,0.0,0.062,1.556,5.597,888.567,3025.4570000000003,0.899,1.959,0.0,0.0,0.0
2,2,15.334000000000001,92.20200000000001,4.144,12.369000000000002,0.63,2.0069999999999997,2368.989,0.11,19.765,72.35600000000001,379.994,1799.3339999999998,2.064,0.0,0.0,0.0,0.0
2,3,61.294,463.21,0.363,1.3619999999999999,24.601,215.10299999999998,0.062,0.0,0.019,0.034,24.346999999999998,80.944,2865.259,0.0,0.0,0.0,0.0
2,4,20.375,136.711,7.638,22.906,3.6630000000000003,27.746,0.03,0.046,1.294,3.023,110.167,410.98,0.42100000000000004,0.0,0.09300000000000001,0.0,0.0
2,5,7.315,53.97,17.034000000000002,83.529,33.782,416.735,0.0,0.0,2.6180000000000003,13.892000000000001,128.336,548.101,0.721,0.0,0.0,0.0,0.0
2,6,68.142,646.401,0.373,1.681,0.408,2.123,0.0,0.297,0.037000000000000005,0.08199999999999999,0.18600000000000003,0.46399999999999997,6.803999999999999,0.0,0.0,0.0,0.0
2,7,9.365,50.169,0.034,0.10400000000000001,0.392,2.76,0.0,0.0,0.486,1.524,847.765,4180.668,0.008,0.0,0.0,0.0,0.0
2,8,1.173,5.34,1.143,3.5789999999999997,0.818,2.177,0.0,0.0,2.329,8.798,15.857000000000001,64.255,0.031,0.0,0.0,0.0,0.0
2,10,38.03,267.056,2.546,9.456,6.962999999999999,68.648,0.0,0.0,0.91,2.225,243.889,1504.787,0.31,0.0,0.0,0.0,0.0
2,11,49.873000000000005,526.634,107.07700000000001,612.633,29.673000000000002,304.876,0.0,0.0,0.146,0.5429999999999999,231.72299999999998,1512.281,0.22,0.0,0.0,0.0,0.0
2,12,29.739,162.95600000000002,200.56,1071.34,0.7829999999999999,4.456,199.581,0.016,2.2159999999999997,4.629,470.22,2211.0570000000002,4.074,0.0,0.0,0.0,0.0
2,14,269.857,2547.3920000000003,27.394000000000002,100.825,2.069,11.905,0.03,0.562,1.5630000000000002,3.5,586.9680000000001,3502.02,95.538,0.0,0.0,0.0,0.0
2,15,469.30800000000005,4180.08,2.713,7.58,2.09,21.256999999999998,4122.224,0.0,2.056,6.521,645.369,3744.445,0.326,0.0,0.0,0.0,0.0
2,16,37.422,199.88099999999997,1.4280000000000002,3.1289999999999996,3.721,22.003,0.0,1.0170000000000001,0.075,0.215,21.021,61.828,3.9,0.0,0.0,0.0,0.0
2,17,2.4930000000000003,7.532,2.9160000000000004,12.979000000000001,107.63,858.122,0.0,0.016,0.023,0.102,5.166,15.857999999999999,0.092,0.0,0.0,0.0,0.0
2,18,0.955,2.522,0.039,0.07400000000000001,0.018000000000000002,0.084,0.0,0.0,0.018000000000000002,0.027999999999999997,0.08199999999999999,0.174,125.18799999999999,0.0,0.0,0.0,0.0
2,19,28.346,160.977,169.56599999999997,160.653,1.14,5.67,0.0,0.0,0.34600000000000003,0.988,92.029,180.80599999999998,0.0,0.0,0.0,0.0,0.0
2,20,2.8960000000000004,13.071,3.733,13.074000000000002,0.7090000000000001,4.251,33947.227,3.199,0.762,2.661,475.48199999999997,2518.095,6979.666,0.0,0.0,0.0,0.0
2,21,0.782,2.7489999999999997,0.141,0.41700000000000004,3.891,32.537,0.0,19.881,0.284,1.6969999999999998,191.40400000000002,928.83,0.094,0.0,0.0,0.0,0.0
2,22,15.587,74.444,11.333,31.695,5.6339999999999995,55.522,0.0,0.032,1.327,4.724,308.785,900.6410000000001,0.0,0.0,0.0,0.0,0.0
2,24,109.445,902.758,148.013,474.548,3.596,13.413,0.0,0.0,0.39799999999999996,1.114,82.33200000000001,374.333,1.86,0.0,0.0,0.0,0.0
2,27,17.784000000000002,86.831,0.0,0.0,0.254,1.256,0.0,0.779,0.057999999999999996,0.183,9.774,34.27,7.643,0.0,0.0,0.0,0.0
2,28,9.066,34.623000000000005,159.471,890.924,1.1320000000000001,5.961,0.188,0.125,4.992,17.974,706.814,3194.651,29.487,0.0,0.0,0.0,0.0
2,29,10.107000000000001,96.051,0.0,0.0,0.133,0.49,0.0,0.0,0.002,0.006,48.368,119.62,0.9640000000000001,0.0,0.0,0.0,0.0
2,30,15.799000000000001,111.945,1634.616,8186.630999999999,41.373999999999995,296.742,45.333999999999996,12.034,4.882,20.773000000000003,553.112,3798.636,0.25,0.0,0.0,0.0,0.0
2,32,12.605,71.563,1.446,10.29,0.102,0.535,0.0,0.5,0.39899999999999997,2.437,107.45200000000001,391.12,9.557,0.0,0.0,0.0,0.0
2,34,17.21,83.867,183.17,990.0139999999999,300.307,1767.2220000000002,77.28399999999999,20815.534,0.993,4.672,41.178000000000004,193.558,1553.6029999999998,0.0,0.0,0.0,0.0
2,36,74.73,568.5,128.11,520.811,0.45899999999999996,2.099,974.9960000000001,12.22,6.4079999999999995,28.511999999999997,276.933,991.809,1.33,0.0,0.0,0.0,0.0
2,38,106.976,696.546,110.323,472.06,35.763000000000005,218.203,0.0,0.0,0.225,0.43799999999999994,226.321,556.148,11.67,0.0,0.0,0.0,0.0
2,39,56.547,553.362,0.35700000000000004,1.141,5.266,50.483999999999995,0.015,4.1610000000000005,1.197,5.386,427.96,1631.2320000000002,3664.732,0.0,0.0,0.0,0.0
2,41,23.313000000000002,156.14,2.883,9.466000000000001,0.019,0.099,0.0,0.0,0.08199999999999999,0.266,61.185,362.624,0.374,0.0,0.0,0.0,0.0
2,42,12.015999999999998,58.221000000000004,5.777,35.294000000000004,4.561,27.441999999999997,0.0,0.0,19.070999999999998,124.52,487.675,2095.857,11.624,0.0,0.0,0.0,0.0
2,43,12.465,67.042,7.721,32.8,0.244,0.6709999999999999,6946.619000000001,0.064,1.798,4.393,480.4,2735.696,0.0,0.0,0.0,0.0,0.0
2,44,1.138,7.815,5.492999999999999,32.361999999999995,0.41700000000000004,2.396,0.0,0.0,0.01,0.033,182.34799999999998,927.1519999999999,3.1719999999999997,0.0,0.0,0.0,0.0
2,46,23.963,269.353,58.18600000000001,483.19300000000004,0.28300000000000003,1.4969999999999999,0.016,33.483000000000004,3.713,15.472000000000001,978.3989999999999,3529.31,0.218,0.0,0.0,0.0,0.0
2,47,37.065,193.387,29.311999999999998,118.17299999999999,1.5859999999999999,14.888,25844.705,1.185,3.3739999999999997,8.288,47.071999999999996,130.972,0.899,0.0,0.0,0.0,0.0
2,48,314.226,1831.118,28.809,75.848,20.476,135.239,0.016,0.0,0.002,0.005,73.757,319.947,0.015,0.0,0.0,0.0,0.0
2,49,25.987,176.132,4.147,13.658,1.413,12.448,0.0,0.047,1.734,7.465,639.694,2526.178,0.0,0.0,0.0,0.0,0.0
2,50,57.805,220.399,116.056,457.44800000000004,7.096,28.261999999999997,0.156,197.937,0.326,0.506,26.779,84.698,217.019,0.0,0.0,0.0,0.0
2,51,4.987,34.955999999999996,2.8960000000000004,19.37,0.265,1.868,43.931999999999995,0.0,0.46299999999999997,1.921,623.481,2234.902,7.287000000000001,0.0,0.0,0.0,0.0
2,52,11.734000000000002,80.044,6.392,22.605,0.991,4.359,0.0,0.8009999999999999,5.651,34.227,431.413,1515.543,10.687999999999999,0.0,0.0,0.0,0.0
2,53,11.167,69.398,636.561,2502.843,6.062,38.058,0.0,0.0,0.878,2.741,67.867,202.959,0.42,0.0,0.0,0.0,0.0
2,54,9.51,51.57899999999999,13.231,82.115,0.687,2.758,0.0,0.282,0.46299999999999997,1.7469999999999999,49.73,251.477,229.65200000000002,0.0,0.048,0.0,0.0
2,56,9.683,51.855,10.201,46.547,6.289,58.157,2079.076,177.493,0.061,0.27399999999999997,32.662,139.862,2.246,0.0,0.0,0.0,0.0
2,59,70.023,577.937,3.2110000000000003,14.087,1.13,8.246,0.0,0.265,12.335,64.991,2059.283,13929.141000000001,785.023,0.0,0.0,0.0,0.0
2,61,3.853,25.328000000000003,170.96900000000002,661.795,12.129000000000001,134.355,0.156,0.0,0.006,0.013000000000000001,10.115,31.894000000000002,0.359,0.0,0.078,0.0,0.0
2,63,109.302,595.055,18.719,126.226,3.535,28.559,126.415,0.094,2.26,5.202000000000001,812.8960000000001,5064.385,30.256,0.0,0.0,306.252,0.0
2,66,16.25,138.386,4.944,23.136,18.451,143.005,0.0,0.0,0.6890000000000001,1.699,288.76099999999997,2265.821,340.19699999999995,0.0,0.0,0.0,0.0
2,67,294.774,2109.885,149.822,1048.807,37.507,257.82,2.501,0.0,0.052000000000000005,0.20600000000000002,980.793,4631.329000000001,0.094,0.0,0.046,0.0,0.0
2,70,8.554,71.546,2.222,7.4270000000000005,1.883,8.65,0.016,0.0,0.5489999999999999,1.962,1486.8310000000001,9431.599,0.687,0.0,0.0,0.0,0.0
